C104084	HGNC:14460
C104087	HGNC:3466
C104090	HGNC:20945
C104093	HGNC:21014
C104096	HGNC:16665
C104104	HGNC:12539
C104107	HGNC:1706
C104110	HGNC:1723
C104113	HGNC:1814
C104116	HGNC:1834
C104119	HGNC:1161
C104122	HGNC:21699
C104125	HGNC:23749
C104128	HGNC:1608
C104131	HGNC:13258
C104134	HGNC:1727
C104137	HGNC:2295
C104140	HGNC:30185
C104143	HGNC:16642
C104146	HGNC:2602
C104149	HGNC:2605
C104155	HGNC:29841
C104158	HGNC:24132
C104161	HGNC:6392
C104164	HGNC:20778
C104168	HGNC:12408
C104172	HGNC:24313
C104175	HGNC:13709
C104178	HGNC:20113
C104181	HGNC:30915
C104184	HGNC:24944
C104187	HGNC:3265
C104190	HGNC:3282
C104195	HGNC:3309
C104203	HGNC:3350
C104206	HGNC:9718
C104209	HGNC:3357
C104212	HGNC:9646
C104215	HGNC:3530
C104216	HGNC:11949
C104221	HGNC:16731
C104223	HGNC:11947
C104227	HGNC:1577
C104230	HGNC:438
C104233	HGNC:2597
C104234	HGNC:3613
C104239	HGNC:9813
C104242	HGNC:20772
C104245	HGNC:10260
C104248	HGNC:11599
C104251	HGNC:6162
C104254	HGNC:2909
C104257	HGNC:24149
C104263	HGNC:4709
C104271	HGNC:15598
C104276	HGNC:18437
C104287	HGNC:19086
C104303	HGNC:3374
C104316	HGNC:4964
C104331	HGNC:5104
C104335	HGNC:5117
C104338	HGNC:5261
C104341	HGNC:6002
C104344	HGNC:6005
C104347	HGNC:18364
C104350	HGNC:18363
C104356	HGNC:6393
C104359	HGNC:6338
C104362	HGNC:6374
C104376	HGNC:4099
C104379	HGNC:19125
C104382	HGNC:3680
C104385	HGNC:3708
C104388	HGNC:3724
C104391	HGNC:3774
C104394	HGNC:6106
C104397	HGNC:3964
C104400	HGNC:4015
C104403	HGNC:4046
C104406	HGNC:6561
C104409	HGNC:4141
C104416	HGNC:4174
C104421	HGNC:4177
C104424	HGNC:18986
C104427	HGNC:18129
C104430	HGNC:4270
C104434	HGNC:4554
C104461	HGNC:4106
C104470	HGNC:4104
C104473	HGNC:4103
C104480	HGNC:4102
C104483	HGNC:4101
C104489	HGNC:4098
C104492	HGNC:942
C104496	HGNC:6797
C104499	HGNC:6800
C104502	HGNC:9165
C104506	HGNC:18128
C104509	HGNC:6796
C104512	HGNC:6802
C104514	HGNC:11906
C104517	HGNC:6804
C104521	HGNC:28515
C104524	HGNC:6812
C104527	HGNC:13574
C104530	HGNC:26226
C104533	HGNC:18254
C104536	HGNC:4881
C104538	HGNC:14374
C104542	HGNC:11004
C104543	HGNC:6732
C104548	HGNC:19077
C104551	HGNC:11586
C104554	HGNC:5358
C104557	HGNC:7756
C104558	HGNC:18284
C104563	HGNC:7661
C104566	HGNC:7861
C104569	HGNC:17514
C104570	HGNC:7891
C104575	HGNC:30809
C104578	HGNC:8955
C104581	HGNC:8829
C104584	HGNC:8017
C104587	HGNC:8022
C104590	HGNC:1043
C104611	HGNC:6838
C104614	HGNC:6677
C104617	HGNC:23379
C104620	HGNC:6476
C104624	HGNC:6737
C104627	HGNC:6499
C104630	HGNC:4975
C104633	HGNC:7228
C104636	HGNC:6862
C104639	HGNC:1474
C104642	HGNC:21163
C104645	HGNC:16875
C104648	HGNC:7091
C104651	HGNC:21086
C104654	HGNC:6131
C104657	HGNC:4053
C104660	HGNC:3299
C104665	HGNC:31875
C104669	HGNC:7390
C104681	HGNC:775
C104684	HGNC:2550
C104687	HGNC:7001
C104690	HGNC:7804
C104693	HGNC:30650
C104696	HGNC:11980
C104699	HGNC:2559
