Source,Source Name,Source Code,Type,Rank,Target Name,Target Code,Target Terminology,Target Terminology Version
"NCI_Thesaurus","ACAD8 Gene","C191371","mapsTo","1","ACAD8","HGNC:87","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADL Gene","C190524","mapsTo","1","ACADL","HGNC:88","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADM Gene","C82873","mapsTo","1","ACADM","HGNC:89","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADS Gene","C82871","mapsTo","1","ACADS","HGNC:90","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADSB Gene","C190308","mapsTo","1","ACADSB","HGNC:91","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACADVL Gene","C190528","mapsTo","1","ACADVL","HGNC:92","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACAT1 Gene","C190583","mapsTo","1","ACAT1","HGNC:93","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACBD6 Gene","C114700","mapsTo","1","ACBD6","HGNC:23339","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACD Gene","C119707","mapsTo","1","ACD","HGNC:25070","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACE Gene","C91295","mapsTo","1","ACE","HGNC:2707","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACE2 Gene","C102527","mapsTo","1","ACE2","HGNC:13557","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACER1 Gene","C103888","mapsTo","1","ACER1","HGNC:18356","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACER2 Gene","C103893","mapsTo","1","ACER2","HGNC:23675","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACER3 Gene","C103896","mapsTo","1","ACER3","HGNC:16066","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACHE Gene","C201241","mapsTo","1","ACHE","HGNC:108","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACKR1 Gene","C78151","mapsTo","1","ACKR1","HGNC:4035","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACKR2 Gene","C21592","mapsTo","1","ACKR2","HGNC:1565","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACKR3 Gene","C91369","mapsTo","1","ACKR3","HGNC:23692","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACKR4 Gene","C24274","mapsTo","1","ACKR4","HGNC:1611","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACLY Gene","C107107","mapsTo","1","ACLY","HGNC:115","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACOX1 Gene","C191889","mapsTo","1","ACOX1","HGNC:119","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACOX2 Gene","C96441","mapsTo","1","ACOX2","HGNC:120","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACP1 Gene","C88195","mapsTo","1","ACP1","HGNC:122","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACP2 Gene","C184999","mapsTo","1","ACP2","HGNC:123","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACP3 Gene","C26507","mapsTo","1","ACP3","HGNC:125","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACP5 Gene","C99181","mapsTo","1","ACP5","HGNC:124","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACRBP Gene","C20754","mapsTo","1","ACRBP","HGNC:17195","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACSL1 Gene","C20945","mapsTo","1","ACSL1","HGNC:3569","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACSL3 Gene","C97365","mapsTo","1","ACSL3","HGNC:3570","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACSL6 Gene","C97519","mapsTo","1","ACSL6","HGNC:16496","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACSS2 Gene","C181798","mapsTo","1","ACSS2","HGNC:15814","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTA1 Gene","C191893","mapsTo","1","ACTA1","HGNC:129","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTA2 Gene","C103970","mapsTo","1","ACTA2","HGNC:130","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTB Gene","C103965","mapsTo","1","ACTB","HGNC:132","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTC1 Gene","C189072","mapsTo","1","ACTC1","HGNC:143","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTG1 Gene","C150159","mapsTo","1","ACTG1","HGNC:144","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTG2 Gene","C29948","mapsTo","1","ACTG2","HGNC:145","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTL6A Gene","C157273","mapsTo","1","ACTL6A","HGNC:24124","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTL6B Gene","C157276","mapsTo","1","ACTL6B","HGNC:160","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTN1 Gene","C124920","mapsTo","1","ACTN1","HGNC:163","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTN4 Gene","C126632","mapsTo","1","ACTN4","HGNC:166","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACTR3B Gene","C152040","mapsTo","1","ACTR3B","HGNC:17256","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVR1 Gene","C21267","mapsTo","1","ACVR1","HGNC:171","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVR1B Gene","C21268","mapsTo","1","ACVR1B","HGNC:172","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVR1C Gene","C96019","mapsTo","1","ACVR1C","HGNC:18123","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVR2A Gene","C21271","mapsTo","1","ACVR2A","HGNC:173","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVR2B Gene","C21273","mapsTo","1","ACVR2B","HGNC:174","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ACVRL1 Gene","C21269","mapsTo","1","ACVRL1","HGNC:175","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
"NCI_Thesaurus","ADA Gene","C30156","mapsTo","1","ADA","HGNC:186","HGNC:_HUGO_Gene_Nomenclature_Committee","202308"
